epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,3947.07,1.25673,0.73463,1.06447,0.88003,0.76732,0.7886,0.588,1.31355,0.81135,1.24635,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,4011.34,1.2783,0.74106,1.06318,0.8791,0.77819,0.79288,0.60876,1.28267,0.82187,1.212,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,4073.89,1.27679,0.73287,1.05651,0.87988,0.78796,0.78875,0.61715,1.29823,0.76803,1.228,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,4138.79,1.27777,0.72706,1.06295,0.91449,0.77273,0.79736,0.61029,1.27619,0.79913,1.21174,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,4203.63,1.2464,0.70727,1.055,0.85589,0.76566,0.7935,0.60936,1.29031,0.78731,1.22447,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4267.74,1.26411,0.72191,1.05829,0.83447,0.75697,0.79497,0.62075,1.31225,0.79208,1.24565,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4331.17,1.27581,0.72491,1.05452,0.85471,0.78404,0.79714,0.618,1.31897,0.79723,1.26868,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,4394.74,1.23186,0.71499,1.05739,0.86105,0.76507,0.80952,0.63199,1.29215,0.77126,1.23073,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,4458.74,1.2321,0.70228,1.0478,0.90352,0.76837,0.80206,0.62323,1.29059,0.78384,1.23396,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4522.69,1.27132,0.71925,1.05148,0.85727,0.7894,0.80975,0.62519,1.2903,0.76051,1.23449,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4585.38,1.2607,0.70917,1.04899,0.90913,0.78104,0.79081,0.62035,1.30086,0.76352,1.22915,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4649.72,1.24585,0.70963,1.04805,0.89192,0.77016,0.79929,0.62269,1.27755,0.77937,1.21384,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4715.1,1.2433,0.70703,1.05008,0.87972,0.7977,0.8054,0.60933,1.28945,0.81547,1.21436,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,4781.86,1.25436,0.71511,1.04819,0.88006,0.77683,0.79019,0.60693,1.29614,0.80473,1.23586,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,4848.19,1.24362,0.7073,1.0485,0.87549,0.77217,0.80029,0.62738,1.2867,0.76132,1.22435,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,4914.92,1.21735,0.69449,1.04214,0.88942,0.76003,0.80274,0.62674,1.27195,0.79081,1.20375,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4981.06,1.25042,0.70105,1.04051,0.87643,0.78922,0.80562,0.62369,1.28441,0.78454,1.2312,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,5047.11,1.21092,0.68424,1.0435,0.91042,0.77122,0.79742,0.62382,1.26604,0.76701,1.2139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,5112.95,1.16807,0.66989,1.04471,0.88071,0.76475,0.79379,0.63349,1.26886,0.79637,1.21222,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,5179.04,1.25153,0.70083,1.04064,0.87003,0.79185,0.80467,0.63125,1.29529,0.7516,1.24244,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,5244.73,1.25257,0.69142,1.03554,0.88626,0.78273,0.79765,0.62155,1.27604,0.78384,1.22174,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,5310.57,1.25024,0.69565,1.03321,0.91128,0.74141,0.79275,0.62335,1.27525,0.77976,1.20889,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,5375.96,1.22846,0.68764,1.03984,0.85856,0.76353,0.78454,0.61591,1.26852,0.79885,1.20808,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,5439.44,1.22862,0.68749,1.03566,0.87239,0.78351,0.80364,0.63652,1.26345,0.77378,1.19939,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,5503.53,1.229,0.67932,1.03134,0.8896,0.76366,0.78853,0.61492,1.27108,0.78107,1.22949,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,5567.68,1.22243,0.67908,1.03649,0.87923,0.76981,0.80328,0.62703,1.28148,0.74806,1.2377,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5631.66,1.18391,0.66607,1.03714,0.84978,0.77789,0.79513,0.6251,1.27757,0.74604,1.22781,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,5695.54,1.21393,0.67886,1.03357,0.86809,0.76284,0.80078,0.61981,1.27658,0.73898,1.24436,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,5759.89,1.1936,0.67015,1.02818,0.88827,0.76608,0.79202,0.62535,1.30404,0.75445,1.25655,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,5825.33,1.24533,0.69049,1.02762,0.87445,0.76285,0.79679,0.62589,1.28509,0.72865,1.22558,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,5891.07,1.2129,0.67111,1.02184,0.88857,0.7649,0.80186,0.63165,1.25862,0.76549,1.1964,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,5956.7,1.17764,0.6581,1.02882,0.89632,0.75816,0.80034,0.62404,1.25731,0.77568,1.19712,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
